Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Test_MAPE,Training_Time_sec,Status
CatBoostRegressor,0.9997749416479061,0.9928976656284596,0.14929498377146083,0.8639419890790593,0.11422638546918955,0.560420443654843,2.2998589533761624,1.1122047901153564,Success
XGBRegressor,0.9998164974607862,0.9611236840489091,0.13480893809101033,2.0212804531933934,0.08917017365746555,1.1072568182511762,4.7471909007950535,0.7283823490142822,Success
RandomForestRegressor,0.9812907204095705,0.9355189026197807,1.36121329177285,2.6031562378102033,0.8338295853567218,1.417178272685357,6.19146753278546,1.930337905883789,Success
GradientBoostingRegressor,0.9999999698402107,0.9216419821181516,0.0017282708323312034,2.869628953151107,0.001304915538507533,1.2693905530489304,5.545056417501726,2.175215721130371,Success
