iter	RMSE
0	9.26713803
1	8.628190397
2	7.968794662
3	7.382732474
4	6.894654606
5	6.407057241
6	5.983055106
7	5.641749705
8	5.216991077
9	4.934372591
10	4.592115595
11	4.289700291
12	4.022078576
13	3.776973261
14	3.539205624
15	3.387070038
16	3.228882132
17	3.040399184
18	2.861164528
19	2.722692021
20	2.621337575
21	2.537111261
22	2.403221543
23	2.339348523
24	2.274868636
25	2.170053527
26	2.079830874
27	1.994595762
28	1.923091733
29	1.849052667
30	1.76416671
31	1.68572237
32	1.64478963
33	1.583330449
34	1.551197177
35	1.489663292
36	1.451280888
37	1.428588548
38	1.391470029
39	1.354576987
40	1.314130114
41	1.282278759
42	1.246831754
43	1.231492164
44	1.211438616
45	1.190698134
46	1.153161747
47	1.134776604
48	1.103569589
49	1.081389249
50	1.068309486
51	1.058466889
52	1.035521
53	1.005854845
54	0.9924880429
55	0.9595855504
56	0.9466357077
57	0.9303047934
58	0.9156723379
59	0.906428616
60	0.8979324122
61	0.8833554943
62	0.8763622546
63	0.8548689639
64	0.8476154645
65	0.8390243403
66	0.8320089011
67	0.8209183324
68	0.8155055467
69	0.8059460872
70	0.7946704191
71	0.792168808
72	0.7852504162
73	0.7755230838
74	0.7614509972
75	0.7565583941
76	0.7448164673
77	0.7399469219
78	0.7363665699
79	0.7237576186
80	0.7190123346
81	0.7166379714
82	0.7088316128
83	0.707428169
84	0.7036933893
85	0.7016358939
86	0.6952763958
87	0.6938620943
88	0.6902055882
89	0.6769989665
90	0.6754929978
91	0.6734282283
92	0.6690904774
93	0.6679670654
94	0.6648343656
95	0.6626854548
96	0.6616356647
97	0.659245313
98	0.651979649
99	0.6477080978
100	0.6452772097
101	0.6375749916
102	0.6321482347
103	0.6261008323
104	0.620521826
105	0.6170010687
106	0.6118653331
107	0.6110940396
108	0.6060450126
109	0.6024331313
110	0.6001085516
111	0.5969003272
112	0.5921797909
113	0.58455398
114	0.580041411
115	0.5763789882
116	0.5727060812
117	0.5699108433
118	0.5657600421
119	0.5631295701
120	0.5589849695
121	0.5575030183
122	0.5533225233
123	0.549451388
124	0.5468485192
125	0.5458593244
126	0.5422835466
127	0.5371003675
128	0.5353396562
129	0.534704327
130	0.5308872523
131	0.5238012375
132	0.5206451184
133	0.5163633937
134	0.5141460298
135	0.5093081189
136	0.5087202314
137	0.5050926901
138	0.5010404752
139	0.5000828351
140	0.4983964812
141	0.4938467443
142	0.4924723859
143	0.4916242283
144	0.4902596306
145	0.4882933768
146	0.4845586883
147	0.4810671954
148	0.4778340122
149	0.4739020676
150	0.4709560624
151	0.4683885192
152	0.4651837741
153	0.4592257325
154	0.4587459767
155	0.4554901165
156	0.4539863469
157	0.4506647256
158	0.4483519971
159	0.4454704011
160	0.4420145865
161	0.4415173231
162	0.4398565564
163	0.4346000286
164	0.4338557036
165	0.4322162737
166	0.4305001066
167	0.4291704766
168	0.4278452168
169	0.4251728459
170	0.423537076
171	0.4213577175
172	0.4200018035
173	0.4180303474
174	0.4168883878
175	0.4122790706
176	0.4108649569
177	0.4105368563
